anomes,meses2004,python,sql
2004-01,1,19,86
2004-02,2,19,94
2004-03,3,17,92
2004-04,4,19,98
2004-05,5,18,91
2004-06,6,18,98
2004-07,7,18,98
2004-08,8,17,96
2004-09,9,18,100
2004-10,10,17,88
2004-11,11,17,86
2004-12,12,17,80
2005-01,13,17,81
2005-02,14,18,88
2005-03,15,17,89
2005-04,16,16,86
2005-05,17,18,83
2005-06,18,18,94
2005-07,19,16,84
2005-08,20,17,85
2005-09,21,16,81
2005-10,22,24,79
2005-11,23,17,81
2005-12,24,16,76
2006-01,25,17,74
2006-02,26,17,75
2006-03,27,17,79
2006-04,28,15,73
2006-05,29,15,77
2006-06,30,15,80
2006-07,31,15,74
2006-08,32,16,73
2006-09,33,16,70
2006-10,34,17,69
2006-11,35,16,73
2006-12,36,15,61
2007-01,37,15,67
2007-02,38,15,66
2007-03,39,15,71
2007-04,40,15,66
2007-05,41,15,69
2007-06,42,15,69
2007-07,43,15,70
2007-08,44,15,68
2007-09,45,15,64
2007-10,46,15,68
2007-11,47,14,66
2007-12,48,14,55
2008-01,49,13,59
2008-02,50,14,66
2008-03,51,14,61
2008-04,52,15,65
2008-05,53,15,63
2008-06,54,14,66
2008-07,55,14,64
2008-08,56,14,60
2008-09,57,14,60
2008-10,58,15,61
2008-11,59,14,57
2008-12,60,14,54
2009-01,61,14,52
2009-02,62,15,61
2009-03,63,15,60
2009-04,64,14,56
2009-05,65,14,54
2009-06,66,14,57
2009-07,67,15,57
2009-08,68,14,53
2009-09,69,14,53
2009-10,70,16,53
2009-11,71,14,53
2009-12,72,13,49
2010-01,73,13,50
2010-02,74,14,51
2010-03,75,15,53
2010-04,76,14,54
2010-05,77,14,51
2010-06,78,14,53
2010-07,79,13,47
2010-08,80,14,47
2010-09,81,14,46
2010-10,82,14,48
2010-11,83,14,45
2010-12,84,13,42
2011-01,85,14,44
2011-02,86,15,44
2011-03,87,15,50
2011-04,88,15,44
2011-05,89,15,44
2011-06,90,14,46
2011-07,91,14,43
2011-08,92,14,42
2011-09,93,14,42
2011-10,94,14,42
2011-11,95,15,40
2011-12,96,14,36
2012-01,97,13,38
2012-02,98,14,40
2012-03,99,15,40
2012-04,100,14,38
2012-05,101,15,39
2012-06,102,13,38
2012-07,103,15,38
2012-08,104,15,39
2012-09,105,15,37
2012-10,106,16,38
2012-11,107,16,35
2012-12,108,14,30
2013-01,109,15,34
2013-02,110,15,36
2013-03,111,16,35
2013-04,112,16,38
2013-05,113,16,36
2013-06,114,16,36
2013-07,115,15,35
2013-08,116,17,34
2013-09,117,17,33
2013-10,118,17,35
2013-11,119,20,33
2013-12,120,17,30
2014-01,121,16,33
2014-02,122,17,35
2014-03,123,18,33
2014-04,124,18,34
2014-05,125,17,33
2014-06,126,16,33
2014-07,127,19,35
2014-08,128,17,31
2014-09,129,19,35
2014-10,130,19,34
2014-11,131,19,33
2014-12,132,17,30
2015-01,133,17,29
2015-02,134,20,33
2015-03,135,20,34
2015-04,136,19,33
2015-05,137,18,33
2015-06,138,18,34
2015-07,139,20,31
2015-08,140,19,30
2015-09,141,21,32
2015-10,142,21,32
2015-11,143,21,32
2015-12,144,20,29
2016-01,145,22,27
2016-02,146,25,32
2016-03,147,25,32
2016-04,148,25,30
2016-05,149,25,30
2016-06,150,25,32
2016-07,151,23,28
2016-08,152,22,28
2016-09,153,26,29
2016-10,154,26,29
2016-11,155,29,31
2016-12,156,27,30
2017-01,157,26,29
2017-02,158,30,30
2017-03,159,35,34
2017-04,160,31,30
2017-05,161,30,30
2017-06,162,31,30
2017-07,163,30,30
2017-08,164,30,31
2017-09,165,33,31
2017-10,166,35,29
2017-11,167,35,32
2017-12,168,31,27
2018-01,169,34,29
2018-02,170,37,30
2018-03,171,37,30
2018-04,172,36,29
2018-05,173,36,29
2018-06,174,36,28
2018-07,175,35,28
2018-08,176,35,28
2018-09,177,39,27
2018-10,178,41,28
2018-11,179,40,29
2018-12,180,33,24
2019-01,181,37,26
2019-02,182,41,29
2019-03,183,40,28
2019-04,184,42,30
2019-05,185,40,29
2019-06,186,41,28
2019-07,187,43,29
2019-08,188,40,27
2019-09,189,47,28
2019-10,190,48,30
2019-11,191,47,29
2019-12,192,42,25
2020-01,193,44,27
2020-02,194,48,29
2020-03,195,46,24
2020-04,196,46,23
2020-05,197,45,21
2020-06,198,46,23
2020-07,199,44,24
2020-08,200,43,22
2020-09,201,45,24
2020-10,202,39,21
2020-11,203,36,19
2020-12,204,33,19
2021-01,205,34,18
2021-02,206,37,21
2021-03,207,40,23
2021-04,208,40,21
2021-05,209,37,19
2021-06,210,38,22
2021-07,211,37,20
2021-08,212,35,20
2021-09,213,41,22
2021-10,214,43,21
2021-11,215,45,23
2021-12,216,42,21
2022-01,217,52,25
2022-02,218,63,29
2022-03,219,66,29
2022-04,220,64,28
2022-05,221,59,27
2022-06,222,59,30
2022-07,223,59,26
2022-08,224,57,27
2022-09,225,58,28
2022-10,226,62,27
2022-11,227,61,29
2022-12,228,57,25
2023-01,229,57,27
2023-02,230,65,28
2023-03,231,61,28
2023-04,232,54,24
2023-05,233,52,26
2023-06,234,50,25
2023-07,235,50,24
2023-08,236,50,25
2023-09,237,53,23
2023-10,238,55,24
2023-11,239,52,24
